2018-11-02 20:50:01,327 - DEBUG - generation=0, Rank=4, processid=boyle-n028.cluster, parent={'dropout': 0.25, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 8}, child={'dropout': 0.25, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 8}, parentFitness=10.0000, childFitness=29.3500, networkFitness=29.3500
2018-11-02 20:50:05,671 - DEBUG - generation=0, Rank=7, processid=boyle-n028.cluster, parent={'dropout': 0.25, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, child={'dropout': 0.3, 'optimizer': 'adagrad', 'activation': 'tanh', 'nbLayers': 12, 'nbNeurons': 8}, parentFitness=18.5800, childFitness=10.0000, networkFitness=18.5800
2018-11-02 20:50:13,712 - DEBUG - generation=0, Rank=1, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 16}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 16}, parentFitness=20.9400, childFitness=37.9800, networkFitness=37.9800
2018-11-02 20:50:17,878 - DEBUG - generation=0, Rank=6, processid=boyle-n028.cluster, parent={'dropout': 0.3, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 8}, child={'dropout': 0.3, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 8}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
2018-11-02 20:50:20,072 - DEBUG - generation=0, Rank=0, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 16}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 16}, parentFitness=37.3700, childFitness=18.1200, networkFitness=37.3700
2018-11-02 20:50:23,217 - DEBUG - generation=0, Rank=5, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 4}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 4}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
2018-11-02 20:50:42,194 - DEBUG - generation=0, Rank=3, processid=boyle-n028.cluster, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'adagrad', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 128}, parentFitness=45.1800, childFitness=10.0000, networkFitness=45.1800
2018-11-02 20:51:15,450 - DEBUG - generation=0, Rank=2, processid=boyle-n028.cluster, parent={'dropout': 0.25, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 128}, parentFitness=10.0000, childFitness=40.4200, networkFitness=40.4200
2018-11-02 20:53:07,117 - DEBUG - generation=1, Rank=6, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 16}, child={'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 16}, parentFitness=10.0000, childFitness=32.5000, networkFitness=32.5000
2018-11-02 20:53:14,336 - DEBUG - generation=1, Rank=5, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 16}, child={'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 8}, parentFitness=34.4100, childFitness=28.6500, networkFitness=34.4100
2018-11-02 20:53:20,140 - DEBUG - generation=1, Rank=4, processid=boyle-n028.cluster, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 8}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 8}, parentFitness=30.0600, childFitness=31.3700, networkFitness=31.3700
2018-11-02 20:53:26,427 - DEBUG - generation=1, Rank=0, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, parentFitness=37.8400, childFitness=41.2700, networkFitness=41.2700
2018-11-02 20:53:30,732 - DEBUG - generation=1, Rank=1, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 16}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 16}, parentFitness=37.0100, childFitness=39.8800, networkFitness=39.8800
2018-11-02 20:53:39,212 - DEBUG - generation=1, Rank=3, processid=boyle-n028.cluster, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, parentFitness=45.0700, childFitness=45.5600, networkFitness=45.5600
2018-11-02 20:53:44,847 - DEBUG - generation=1, Rank=7, processid=boyle-n028.cluster, parent={'dropout': 0.25, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=19.1100, childFitness=18.6100, networkFitness=19.1100
2018-11-02 20:54:00,324 - DEBUG - generation=1, Rank=2, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, parentFitness=42.5800, childFitness=43.0800, networkFitness=43.0800
2018-11-02 20:55:42,620 - DEBUG - generation=2, Rank=7, processid=boyle-n028.cluster, parent={'dropout': 0.3, 'optimizer': 'nadam', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 16}, child={'dropout': 0.3, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=36.9500, childFitness=27.2400, networkFitness=36.9500
2018-11-02 20:55:45,162 - DEBUG - generation=2, Rank=6, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 16}, child={'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 16}, parentFitness=38.2600, childFitness=38.6300, networkFitness=38.6300
