2018-11-02 18:13:17,743 - DEBUG - generation=0, Rank=0, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'relu', 'nbLayers': 6, 'nbNeurons': 16}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'relu', 'nbLayers': 6, 'nbNeurons': 16}, parentFitness=10.0000, childFitness=20.0500, networkFitness=20.0500
2018-11-02 18:13:26,536 - DEBUG - generation=0, Rank=3, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'relu', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'relu', 'nbLayers': 6, 'nbNeurons': 32}, parentFitness=18.3700, childFitness=30.1600, networkFitness=30.1600
2018-11-02 18:13:27,105 - DEBUG - generation=0, Rank=2, processid=boyle-n010.cluster, parent={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 8}, child={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 8}, parentFitness=15.0100, childFitness=17.4800, networkFitness=17.4800
2018-11-02 18:14:28,209 - DEBUG - generation=0, Rank=1, processid=boyle-n010.cluster, parent={'dropout': 0.4, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 15, 'nbNeurons': 128}, parentFitness=16.5900, childFitness=10.0000, networkFitness=16.5900
2018-11-02 18:16:36,078 - DEBUG - generation=1, Rank=3, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'relu', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.4, 'optimizer': 'adagrad', 'activation': 'relu', 'nbLayers': 6, 'nbNeurons': 8}, parentFitness=24.9000, childFitness=10.0000, networkFitness=30.1600
2018-11-02 18:16:54,362 - DEBUG - generation=1, Rank=0, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'relu', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'relu', 'nbLayers': 6, 'nbNeurons': 32}, parentFitness=24.6200, childFitness=27.3300, networkFitness=27.3300
2018-11-02 18:18:11,144 - DEBUG - generation=1, Rank=1, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'relu', 'nbLayers': 12, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'relu', 'nbLayers': 12, 'nbNeurons': 128}, parentFitness=10.0000, childFitness=31.9900, networkFitness=31.9900
2018-11-02 18:18:11,522 - DEBUG - generation=1, Rank=2, processid=boyle-n010.cluster, parent={'dropout': 0.4, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 128}, parentFitness=18.2500, childFitness=20.3400, networkFitness=20.3400
2018-11-02 18:21:04,648 - DEBUG - generation=2, Rank=0, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'relu', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'relu', 'nbLayers': 6, 'nbNeurons': 32}, parentFitness=22.2700, childFitness=18.6300, networkFitness=27.3300
2018-11-02 18:21:04,753 - DEBUG - generation=2, Rank=2, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 16}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 16}, parentFitness=34.7300, childFitness=37.7500, networkFitness=37.7500
2018-11-02 18:21:10,878 - DEBUG - generation=2, Rank=3, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=29.3400, childFitness=38.2000, networkFitness=38.2000
2018-11-02 18:22:45,509 - DEBUG - generation=2, Rank=1, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'relu', 'nbLayers': 12, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'relu', 'nbLayers': 12, 'nbNeurons': 128}, parentFitness=34.2700, childFitness=34.5900, networkFitness=34.5900
2018-11-02 18:25:27,384 - DEBUG - generation=3, Rank=3, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 16}, parentFitness=40.1200, childFitness=35.1800, networkFitness=40.1200
2018-11-02 18:25:29,675 - DEBUG - generation=3, Rank=1, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'relu', 'nbLayers': 12, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'relu', 'nbLayers': 1, 'nbNeurons': 8}, parentFitness=34.6500, childFitness=10.0000, networkFitness=34.6500
2018-11-02 18:26:21,145 - DEBUG - generation=3, Rank=2, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=37.4300, childFitness=40.6400, networkFitness=40.6400
2018-11-02 18:26:23,704 - DEBUG - generation=3, Rank=0, processid=boyle-n010.cluster, parent={'dropout': 0.2, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 9, 'nbNeurons': 8}, child={'dropout': 0.2, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 9, 'nbNeurons': 32}, parentFitness=10.0000, childFitness=18.2900, networkFitness=27.3300
2018-11-02 18:29:27,788 - DEBUG - generation=4, Rank=3, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=36.1400, childFitness=35.6200, networkFitness=40.1200
2018-11-02 18:29:52,251 - DEBUG - generation=4, Rank=1, processid=boyle-n010.cluster, parent={'dropout': 0.5, 'optimizer': 'adagrad', 'activation': 'relu', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.5, 'optimizer': 'adagrad', 'activation': 'relu', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=33.4300, childFitness=35.0400, networkFitness=35.0400
2018-11-02 18:30:06,573 - DEBUG - generation=4, Rank=0, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=39.2300, childFitness=42.9400, networkFitness=42.9400
2018-11-02 18:30:23,617 - DEBUG - generation=4, Rank=2, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 12, 'nbNeurons': 128}, parentFitness=38.8300, childFitness=17.0500, networkFitness=40.6400
2018-11-02 18:32:19,883 - DEBUG - generation=5, Rank=3, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 8}, parentFitness=38.3600, childFitness=35.3800, networkFitness=40.1200
2018-11-02 18:32:21,553 - DEBUG - generation=5, Rank=0, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=43.6700, childFitness=36.5800, networkFitness=43.6700
2018-11-02 18:32:46,897 - DEBUG - generation=5, Rank=1, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=24.9700, childFitness=43.1100, networkFitness=43.1100
2018-11-02 18:32:48,543 - DEBUG - generation=5, Rank=2, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=38.3400, childFitness=39.6700, networkFitness=40.6400
2018-11-02 18:35:18,523 - DEBUG - generation=6, Rank=0, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=44.3300, childFitness=41.2000, networkFitness=44.3300
2018-11-02 18:35:24,468 - DEBUG - generation=6, Rank=1, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'sgd', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=40.6200, childFitness=37.1200, networkFitness=43.1100
2018-11-02 18:35:29,713 - DEBUG - generation=6, Rank=2, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=39.7300, childFitness=38.5800, networkFitness=40.6400
2018-11-02 18:36:04,870 - DEBUG - generation=6, Rank=3, processid=boyle-n010.cluster, parent={'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'tanh', 'nbLayers': 9, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'tanh', 'nbLayers': 9, 'nbNeurons': 128}, parentFitness=9.9800, childFitness=39.3900, networkFitness=40.1200
2018-11-02 18:38:21,896 - DEBUG - generation=7, Rank=2, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=39.9400, childFitness=38.6400, networkFitness=40.6400
2018-11-02 18:38:27,104 - DEBUG - generation=7, Rank=3, processid=boyle-n010.cluster, parent={'dropout': 0.4, 'optimizer': 'adadelta', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.3, 'optimizer': 'adadelta', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=37.7500, childFitness=35.7100, networkFitness=40.1200
2018-11-02 18:38:56,733 - DEBUG - generation=7, Rank=1, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=43.0800, childFitness=42.7900, networkFitness=43.1100
