2018-11-02 18:13:03,774 - DEBUG - generation=0, Rank=4, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 8}, child={'dropout': 0.25, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 9, 'nbNeurons': 8}, parentFitness=18.1900, childFitness=9.2100, networkFitness=18.1900
2018-11-02 18:13:09,612 - DEBUG - generation=0, Rank=0, processid=boyle-n026.cluster, parent={'dropout': 0.3, 'optimizer': 'adagrad', 'activation': 'relu', 'nbLayers': 15, 'nbNeurons': 8}, child={'dropout': 0.3, 'optimizer': 'adagrad', 'activation': 'relu', 'nbLayers': 15, 'nbNeurons': 8}, parentFitness=13.6700, childFitness=16.0000, networkFitness=16.0000
2018-11-02 18:13:11,492 - DEBUG - generation=0, Rank=3, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 12, 'nbNeurons': 4}, child={'dropout': 0.25, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 12, 'nbNeurons': 4}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
2018-11-02 18:13:14,780 - DEBUG - generation=0, Rank=5, processid=boyle-n026.cluster, parent={'dropout': 0.2, 'optimizer': 'adagrad', 'activation': 'tanh', 'nbLayers': 3, 'nbNeurons': 8}, child={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 12, 'nbNeurons': 8}, parentFitness=18.1900, childFitness=17.1700, networkFitness=18.1900
2018-11-02 18:13:31,746 - DEBUG - generation=0, Rank=2, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=10.0000, childFitness=20.7400, networkFitness=20.7400
2018-11-02 18:13:40,431 - DEBUG - generation=0, Rank=1, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 15, 'nbNeurons': 32}, parentFitness=41.9900, childFitness=18.7900, networkFitness=41.9900
2018-11-02 18:14:54,430 - DEBUG - generation=1, Rank=1, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.3, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=40.3700, childFitness=37.1100, networkFitness=41.9900
2018-11-02 18:15:03,184 - DEBUG - generation=1, Rank=0, processid=boyle-n026.cluster, parent={'dropout': 0.3, 'optimizer': 'adagrad', 'activation': 'relu', 'nbLayers': 15, 'nbNeurons': 8}, child={'dropout': 0.3, 'optimizer': 'adagrad', 'activation': 'relu', 'nbLayers': 15, 'nbNeurons': 8}, parentFitness=10.0000, childFitness=10.0000, networkFitness=16.0000
2018-11-02 18:15:05,892 - DEBUG - generation=1, Rank=5, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 8}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 8}, parentFitness=18.2000, childFitness=18.7700, networkFitness=18.7700
2018-11-02 18:15:11,712 - DEBUG - generation=1, Rank=4, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 8}, child={'dropout': 0.1, 'optimizer': 'sgd', 'activation': 'hard_sigmoid', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=19.1000, childFitness=10.0000, networkFitness=19.1000
2018-11-02 18:15:17,527 - DEBUG - generation=1, Rank=3, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=10.0000, childFitness=34.4600, networkFitness=34.4600
