2018-11-02 19:44:21,862 - DEBUG - generation=0, Rank=3, processid=boyle-n010.cluster, parent={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 3, 'nbNeurons': 8}, child={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 3, 'nbNeurons': 8}, parentFitness=17.7700, childFitness=32.3900, networkFitness=32.3900
2018-11-02 19:44:28,540 - DEBUG - generation=0, Rank=2, processid=boyle-n010.cluster, parent={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 8}, child={'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 8}, parentFitness=19.0800, childFitness=17.6000, networkFitness=19.0800
2018-11-02 19:44:31,724 - DEBUG - generation=0, Rank=4, processid=boyle-n010.cluster, parent={'dropout': 0.3, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 8}, child={'dropout': 0.3, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 8}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
2018-11-02 19:44:33,701 - DEBUG - generation=0, Rank=1, processid=boyle-n010.cluster, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 128}, child={'dropout': 0.3, 'optimizer': 'adam', 'activation': 'relu', 'nbLayers': 3, 'nbNeurons': 32}, parentFitness=38.9700, childFitness=18.7600, networkFitness=38.9700
2018-11-02 19:44:38,577 - DEBUG - generation=0, Rank=0, processid=boyle-n010.cluster, parent={'dropout': 0.3, 'optimizer': 'adamax', 'activation': 'hard_sigmoid', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.3, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 6, 'nbNeurons': 8}, parentFitness=19.4200, childFitness=16.2900, networkFitness=19.4200
2018-11-02 19:44:39,879 - DEBUG - generation=0, Rank=8, processid=boyle-n010.cluster, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 32}, parentFitness=39.6500, childFitness=17.3100, networkFitness=39.6500
2018-11-02 19:44:40,698 - DEBUG - generation=0, Rank=9, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, parentFitness=30.5200, childFitness=39.7900, networkFitness=39.7900
2018-11-02 19:45:07,503 - DEBUG - generation=0, Rank=5, processid=boyle-n010.cluster, parent={'dropout': 0.2, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.3, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, parentFitness=36.7800, childFitness=28.2800, networkFitness=36.7800
2018-11-02 19:45:16,975 - DEBUG - generation=0, Rank=7, processid=boyle-n010.cluster, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'sigmoid', 'nbLayers': 15, 'nbNeurons': 32}, parentFitness=13.1400, childFitness=10.0000, networkFitness=13.1400
2018-11-02 19:45:32,733 - DEBUG - generation=0, Rank=6, processid=boyle-n010.cluster, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 15, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 15, 'nbNeurons': 128}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
2018-11-02 19:48:34,561 - DEBUG - generation=1, Rank=3, processid=boyle-n010.cluster, parent={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 3, 'nbNeurons': 8}, child={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 8}, parentFitness=32.9400, childFitness=30.7000, networkFitness=32.9400
2018-11-02 19:48:45,913 - DEBUG - generation=1, Rank=8, processid=boyle-n010.cluster, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=39.9700, childFitness=36.7600, networkFitness=39.9700
2018-11-02 19:48:52,082 - DEBUG - generation=1, Rank=2, processid=boyle-n010.cluster, parent={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 8}, child={'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 8}, parentFitness=26.8300, childFitness=25.4000, networkFitness=26.8300
2018-11-02 19:48:56,263 - DEBUG - generation=1, Rank=7, processid=boyle-n010.cluster, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'hard_sigmoid', 'nbLayers': 6, 'nbNeurons': 32}, parentFitness=18.9300, childFitness=10.0000, networkFitness=18.9300
2018-11-02 19:49:09,857 - DEBUG - generation=1, Rank=9, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, parentFitness=40.4700, childFitness=40.1100, networkFitness=40.4700
2018-11-02 19:49:15,025 - DEBUG - generation=1, Rank=0, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 32}, parentFitness=10.0000, childFitness=38.6700, networkFitness=38.6700
2018-11-02 19:49:23,566 - DEBUG - generation=1, Rank=1, processid=boyle-n010.cluster, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 128}, child={'dropout': 0.3, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 32}, parentFitness=39.6600, childFitness=29.7300, networkFitness=39.6600
