2018-11-02 19:25:59,076 - DEBUG - generation=0, Rank=8, processid=boyle-n026.cluster, parent={'dropout': 0.4, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 6, 'nbNeurons': 8}, parentFitness=21.2600, childFitness=10.0000, networkFitness=21.2600
2018-11-02 19:26:08,671 - DEBUG - generation=0, Rank=7, processid=boyle-n026.cluster, parent={'dropout': 0.3, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.3, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=34.7300, childFitness=45.2900, networkFitness=45.2900
2018-11-02 19:26:10,079 - DEBUG - generation=0, Rank=4, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 8}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 8}, parentFitness=10.0000, childFitness=17.8700, networkFitness=17.8700
2018-11-02 19:26:10,822 - DEBUG - generation=0, Rank=9, processid=boyle-n026.cluster, parent={'dropout': 0.4, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 16}, child={'dropout': 0.4, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 16}, parentFitness=10.0000, childFitness=19.0000, networkFitness=19.0000
2018-11-02 19:26:13,272 - DEBUG - generation=0, Rank=10, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 4}, child={'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 4}, parentFitness=25.0600, childFitness=10.0000, networkFitness=25.0600
2018-11-02 19:26:16,626 - DEBUG - generation=0, Rank=6, processid=boyle-n026.cluster, parent={'dropout': 0.5, 'optimizer': 'adadelta', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.5, 'optimizer': 'adadelta', 'activation': 'tanh', 'nbLayers': 12, 'nbNeurons': 8}, parentFitness=33.5900, childFitness=10.0000, networkFitness=33.5900
2018-11-02 19:26:18,050 - DEBUG - generation=0, Rank=1, processid=boyle-n026.cluster, parent={'dropout': 0.4, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 9, 'nbNeurons': 16}, child={'dropout': 0.4, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 9, 'nbNeurons': 16}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
2018-11-02 19:26:23,819 - DEBUG - generation=0, Rank=3, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 8}, child={'dropout': 0.25, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 128}, parentFitness=18.9800, childFitness=10.0000, networkFitness=18.9800
2018-11-02 19:26:25,862 - DEBUG - generation=0, Rank=11, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=44.8100, childFitness=45.5700, networkFitness=45.5700
2018-11-02 19:26:27,706 - DEBUG - generation=0, Rank=2, processid=boyle-n026.cluster, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 15, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 15, 'nbNeurons': 4}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
2018-11-02 19:26:30,522 - DEBUG - generation=0, Rank=0, processid=boyle-n026.cluster, parent={'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 9, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 9, 'nbNeurons': 128}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
2018-11-02 19:27:17,822 - DEBUG - generation=0, Rank=5, processid=boyle-n026.cluster, parent={'dropout': 0.3, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 128}, child={'dropout': 0.3, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 128}, parentFitness=10.0000, childFitness=35.5600, networkFitness=35.5600
2018-11-02 19:29:58,404 - DEBUG - generation=1, Rank=4, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 8}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 8}, parentFitness=20.0900, childFitness=18.4200, networkFitness=20.0900
