2018-11-07 20:01:33,778 - DEBUG - generation=0, Rank=5, processid=boyle-n016.cluster, group=ID1, subRank=1, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 16}, child={'dropout': 0.4, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 16}, parentFitness=37.3200, childFitness=10.0000, networkFitness=37.3200, genBestFitness=44.3900
2018-11-07 20:01:33,778 - DEBUG - generation=0, Rank=8, processid=boyle-n016.cluster, group=ID2, subRank=0, parent={'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 8}, child={'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 8}, parentFitness=9.1000, childFitness=10.0000, networkFitness=10.0000, genBestFitness=44.3900
2018-11-07 20:01:33,778 - DEBUG - generation=0, Rank=10, processid=boyle-n016.cluster, group=ID2, subRank=2, parent={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 8}, child={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 8}, parentFitness=17.6100, childFitness=35.3900, networkFitness=35.3900, genBestFitness=44.3900
2018-11-07 20:01:33,778 - DEBUG - generation=0, Rank=7, processid=boyle-n016.cluster, group=ID1, subRank=3, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 8}, child={'dropout': 0.25, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=30.7000, childFitness=18.5300, networkFitness=30.7000, genBestFitness=44.3900
2018-11-07 20:01:33,778 - DEBUG - generation=0, Rank=4, processid=boyle-n016.cluster, group=ID1, subRank=0, parent={'dropout': 0.4, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 8}, child={'dropout': 0.4, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 8}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000, genBestFitness=44.3900
2018-11-07 20:01:33,778 - DEBUG - generation=0, Rank=3, processid=boyle-n016.cluster, group=ID0, subRank=3, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=10.0000, childFitness=18.5900, networkFitness=18.5900, genBestFitness=44.3900
2018-11-07 20:01:33,778 - DEBUG - generation=0, Rank=6, processid=boyle-n016.cluster, group=ID1, subRank=2, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 64}, parentFitness=17.4200, childFitness=44.3900, networkFitness=44.3900, genBestFitness=44.3900
2018-11-07 20:01:33,778 - DEBUG - generation=0, Rank=0, processid=boyle-n016.cluster, group=ID0, subRank=0, parent={'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 12, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 6, 'nbNeurons': 4}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000, genBestFitness=44.3900
2018-11-07 20:01:33,778 - DEBUG - generation=0, Rank=1, processid=boyle-n016.cluster, group=ID0, subRank=1, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 3, 'nbNeurons': 4}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 3, 'nbNeurons': 4}, parentFitness=19.9200, childFitness=18.5400, networkFitness=19.9200, genBestFitness=44.3900
2018-11-07 20:01:33,778 - DEBUG - generation=0, Rank=2, processid=boyle-n016.cluster, group=ID0, subRank=2, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 16}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=31.3200, childFitness=19.0700, networkFitness=31.3200, genBestFitness=44.3900
2018-11-07 20:01:33,778 - DEBUG - generation=0, Rank=11, processid=boyle-n016.cluster, group=ID2, subRank=3, parent={'dropout': 0.5, 'optimizer': 'adadelta', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 128}, child={'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 9, 'nbNeurons': 8}, parentFitness=14.7100, childFitness=10.0000, networkFitness=14.7100, genBestFitness=44.3900
2018-11-07 20:01:33,778 - DEBUG - generation=0, Rank=9, processid=boyle-n016.cluster, group=ID2, subRank=1, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 8}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 8}, parentFitness=27.6400, childFitness=36.1700, networkFitness=36.1700, genBestFitness=44.3900
2018-11-07 20:04:11,830 - DEBUG - generation=1, Rank=10, processid=boyle-n016.cluster, group=ID2, subRank=2, parent={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 8}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 8}, parentFitness=35.0100, childFitness=33.3100, networkFitness=35.3900, genBestFitness=46.1700
2018-11-07 20:04:11,831 - DEBUG - generation=1, Rank=1, processid=boyle-n016.cluster, group=ID0, subRank=1, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 3, 'nbNeurons': 4}, child={'dropout': 0.4, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 12, 'nbNeurons': 128}, parentFitness=18.8600, childFitness=10.0000, networkFitness=19.9200, genBestFitness=46.1700
2018-11-07 20:04:11,831 - DEBUG - generation=1, Rank=3, processid=boyle-n016.cluster, group=ID0, subRank=3, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=19.8400, childFitness=22.9300, networkFitness=22.9300, genBestFitness=46.1700
2018-11-07 20:04:11,831 - DEBUG - generation=1, Rank=2, processid=boyle-n016.cluster, group=ID0, subRank=2, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 16}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 15, 'nbNeurons': 16}, parentFitness=34.4300, childFitness=10.0000, networkFitness=34.4300, genBestFitness=46.1700
2018-11-07 20:04:11,831 - DEBUG - generation=1, Rank=8, processid=boyle-n016.cluster, group=ID2, subRank=0, parent={'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 8}, child={'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 8}, parentFitness=10.0000, childFitness=9.7100, networkFitness=10.0000, genBestFitness=46.1700
2018-11-07 20:04:11,831 - DEBUG - generation=1, Rank=0, processid=boyle-n016.cluster, group=ID0, subRank=0, parent={'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'hard_sigmoid', 'nbLayers': 15, 'nbNeurons': 16}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 12, 'nbNeurons': 128}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000, genBestFitness=46.1700
2018-11-07 20:04:11,831 - DEBUG - generation=1, Rank=5, processid=boyle-n016.cluster, group=ID1, subRank=1, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 16}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 16}, parentFitness=39.5300, childFitness=42.3700, networkFitness=42.3700, genBestFitness=46.1700
2018-11-07 20:04:11,831 - DEBUG - generation=1, Rank=4, processid=boyle-n016.cluster, group=ID1, subRank=0, parent={'dropout': 0.4, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 8}, child={'dropout': 0.4, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 8}, parentFitness=10.0000, childFitness=20.3700, networkFitness=20.3700, genBestFitness=46.1700
