2018-11-02 14:28:47,268 - DEBUG - generation=0, Rank=0, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, parentFitness=19.3800, childFitness=18.8100, networkFitness=19.3800
2018-11-02 14:30:16,670 - DEBUG - generation=0, Rank=1, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 16}, parentFitness=18.5200, childFitness=15.8500, networkFitness=18.5200
2018-11-02 14:32:10,714 - DEBUG - generation=0, Rank=2, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=18.0900, childFitness=38.4000, networkFitness=38.4000
2018-11-02 14:34:02,708 - DEBUG - generation=0, Rank=3, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, parentFitness=18.0800, childFitness=17.9500, networkFitness=18.0800
2018-11-02 14:36:26,868 - DEBUG - generation=0, Rank=4, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, parentFitness=17.1600, childFitness=19.2600, networkFitness=19.2600
2018-11-02 14:39:20,807 - DEBUG - generation=0, Rank=5, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, parentFitness=24.9000, childFitness=17.6900, networkFitness=24.9000
2018-11-02 14:41:51,613 - DEBUG - generation=0, Rank=6, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, parentFitness=18.2700, childFitness=18.0300, networkFitness=18.2700
2018-11-02 14:44:03,766 - DEBUG - generation=0, Rank=7, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, parentFitness=17.7900, childFitness=18.1300, networkFitness=18.1300
2018-11-02 14:46:02,685 - DEBUG - generation=0, Rank=8, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, parentFitness=18.0500, childFitness=17.3500, networkFitness=18.0500
2018-11-02 14:47:56,667 - DEBUG - generation=0, Rank=9, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 8}, parentFitness=18.2400, childFitness=10.1300, networkFitness=18.2400
2018-11-02 14:50:05,174 - DEBUG - generation=1, Rank=0, parent={'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 64}, parentFitness=41.8700, childFitness=15.6000, networkFitness=41.8700
