2018-11-02 13:25:23,454 - DEBUG - generation=0, Rank=0, parent={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=24.4200, childFitness=25.4200, networkFitness=25.4200
2018-11-02 13:26:37,756 - DEBUG - generation=0, Rank=1, parent={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=26.3900, childFitness=26.5200, networkFitness=26.5200
2018-11-02 13:27:48,984 - DEBUG - generation=0, Rank=2, parent={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=28.5300, childFitness=27.2400, networkFitness=28.5300
2018-11-02 13:28:57,296 - DEBUG - generation=0, Rank=3, parent={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=24.0600, childFitness=25.6200, networkFitness=25.6200
2018-11-02 13:30:45,378 - DEBUG - generation=1, Rank=0, parent={'dropout': 0.2, 'optimizer': 'adadelta', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'adadelta', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=38.2700, childFitness=28.1300, networkFitness=38.2700
2018-11-02 13:32:23,209 - DEBUG - generation=1, Rank=1, parent={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=27.7600, childFitness=36.4600, networkFitness=36.4600
2018-11-02 13:33:59,772 - DEBUG - generation=1, Rank=2, parent={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=24.2700, childFitness=36.5400, networkFitness=36.5400
2018-11-02 13:35:15,680 - DEBUG - generation=1, Rank=3, parent={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=25.5500, childFitness=23.7600, networkFitness=25.6200
2018-11-02 13:36:44,551 - DEBUG - generation=2, Rank=0, parent={'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'relu', 'nbLayers': 12, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'relu', 'nbLayers': 12, 'nbNeurons': 4}, parentFitness=10.0000, childFitness=10.0000, networkFitness=38.2700
2018-11-02 13:38:24,434 - DEBUG - generation=2, Rank=1, parent={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'relu', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=36.8400, childFitness=24.9900, networkFitness=36.8400
2018-11-02 13:40:26,057 - DEBUG - generation=2, Rank=2, parent={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=36.3100, childFitness=36.8700, networkFitness=36.8700
2018-11-02 13:41:41,952 - DEBUG - generation=2, Rank=3, parent={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=27.2100, childFitness=22.9100, networkFitness=27.2100
2018-11-02 13:43:22,063 - DEBUG - generation=3, Rank=0, parent={'dropout': 0.2, 'optimizer': 'adam', 'activation': 'relu', 'nbLayers': 12, 'nbNeurons': 4}, child={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=10.0000, childFitness=23.2800, networkFitness=38.2700
2018-11-02 13:44:49,926 - DEBUG - generation=3, Rank=1, parent={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.2, 'optimizer': 'adam', 'activation': 'relu', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=36.6500, childFitness=10.0000, networkFitness=36.8400
2018-11-02 13:46:54,286 - DEBUG - generation=3, Rank=2, parent={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=36.2700, childFitness=36.5200, networkFitness=36.8700
2018-11-02 13:48:21,909 - DEBUG - generation=3, Rank=3, parent={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=16.2300, childFitness=37.0400, networkFitness=37.0400
2018-11-02 13:50:10,043 - DEBUG - generation=4, Rank=0, parent={'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 16}, child={'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 6, 'nbNeurons': 128}, parentFitness=18.1700, childFitness=10.0000, networkFitness=38.2700
2018-11-02 13:51:45,906 - DEBUG - generation=4, Rank=1, parent={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 16}, parentFitness=36.6900, childFitness=32.2200, networkFitness=36.8400
2018-11-02 13:53:50,059 - DEBUG - generation=4, Rank=2, parent={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=36.8200, childFitness=36.1500, networkFitness=36.8700
2018-11-02 13:56:11,846 - DEBUG - generation=4, Rank=3, parent={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=37.5100, childFitness=36.7600, networkFitness=37.5100
2018-11-02 13:57:39,102 - DEBUG - generation=5, Rank=0, parent={'dropout': 0.2, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 16}, child={'dropout': 0.4, 'optimizer': 'adadelta', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 16}, parentFitness=38.3200, childFitness=33.2500, networkFitness=38.3200
2018-11-02 13:59:45,820 - DEBUG - generation=5, Rank=1, parent={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=36.4900, childFitness=36.7900, networkFitness=36.8400
2018-11-02 14:02:06,061 - DEBUG - generation=5, Rank=2, parent={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=36.9300, childFitness=36.7700, networkFitness=36.9300
2018-11-02 14:04:12,357 - DEBUG - generation=5, Rank=3, parent={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=36.8500, childFitness=36.2400, networkFitness=37.5100
2018-11-02 14:06:01,904 - DEBUG - generation=6, Rank=0, parent={'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'relu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=26.5600, childFitness=37.8100, networkFitness=38.3200
2018-11-02 14:07:50,637 - DEBUG - generation=6, Rank=1, parent={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'relu', 'nbLayers': 3, 'nbNeurons': 64}, parentFitness=36.2600, childFitness=27.7800, networkFitness=36.8400
2018-11-02 14:09:58,431 - DEBUG - generation=6, Rank=2, parent={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=36.4700, childFitness=36.6200, networkFitness=36.9300
2018-11-02 14:12:23,301 - DEBUG - generation=6, Rank=3, parent={'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=36.6100, childFitness=46.1900, networkFitness=46.1900
2018-11-02 14:13:49,296 - DEBUG - generation=7, Rank=0, parent={'dropout': 0.4, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 6, 'nbNeurons': 64}, child={'dropout': 0.4, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 8}, parentFitness=10.0000, childFitness=28.1100, networkFitness=38.3200
2018-11-02 14:16:00,136 - DEBUG - generation=7, Rank=1, parent={'dropout': 0.25, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=37.2100, childFitness=40.5500, networkFitness=40.5500
2018-11-02 14:18:00,551 - DEBUG - generation=7, Rank=2, parent={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=36.4700, childFitness=36.3500, networkFitness=36.9300
2018-11-02 14:20:46,493 - DEBUG - generation=7, Rank=3, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=44.1200, childFitness=47.4500, networkFitness=47.4500
2018-11-02 14:21:51,266 - DEBUG - generation=8, Rank=0, parent={'dropout': 0.2, 'optimizer': 'adamax', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 16}, child={'dropout': 0.2, 'optimizer': 'adamax', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 16}, parentFitness=37.6500, childFitness=35.5600, networkFitness=38.3200
2018-11-02 14:23:42,154 - DEBUG - generation=8, Rank=1, parent={'dropout': 0.25, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.2, 'optimizer': 'adamax', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=42.6500, childFitness=30.3400, networkFitness=42.6500
2018-11-02 14:25:32,439 - DEBUG - generation=8, Rank=2, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=35.8400, childFitness=37.9100, networkFitness=37.9100
2018-11-02 14:27:52,541 - DEBUG - generation=8, Rank=3, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'sgd', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=47.0200, childFitness=41.0100, networkFitness=47.4500
2018-11-02 14:31:16,817 - DEBUG - generation=9, Rank=0, parent={'dropout': 0.4, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 15, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 15, 'nbNeurons': 64}, parentFitness=10.0000, childFitness=10.0000, networkFitness=38.3200
2018-11-02 14:33:27,619 - DEBUG - generation=9, Rank=1, parent={'dropout': 0.25, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.4, 'optimizer': 'adadelta', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=42.0400, childFitness=40.2100, networkFitness=42.6500
2018-11-02 14:35:13,930 - DEBUG - generation=9, Rank=2, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=39.4900, childFitness=38.1800, networkFitness=39.4900
2018-11-02 14:37:50,869 - DEBUG - generation=9, Rank=3, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.2, 'optimizer': 'adamax', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=46.7600, childFitness=42.0600, networkFitness=47.4500
2018-11-02 14:40:26,145 - DEBUG - generation=10, Rank=0, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'relu', 'nbLayers': 3, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'relu', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=40.9600, childFitness=39.5200, networkFitness=40.9600
2018-11-02 14:42:20,042 - DEBUG - generation=10, Rank=1, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'relu', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'relu', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=40.9000, childFitness=43.1600, networkFitness=43.1600
2018-11-02 14:44:18,659 - DEBUG - generation=10, Rank=2, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=39.8500, childFitness=40.3800, networkFitness=40.3800
2018-11-02 14:47:09,839 - DEBUG - generation=10, Rank=3, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=47.3700, childFitness=40.4600, networkFitness=47.4500
2018-11-02 14:49:37,835 - DEBUG - generation=11, Rank=0, parent={'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=16.9000, childFitness=43.3100, networkFitness=43.3100
2018-11-02 14:51:12,429 - DEBUG - generation=11, Rank=1, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'relu', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 16}, parentFitness=41.0200, childFitness=37.2700, networkFitness=43.1600
2018-11-02 14:53:11,551 - DEBUG - generation=11, Rank=2, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=38.7600, childFitness=37.3100, networkFitness=40.3800
2018-11-02 14:56:08,590 - DEBUG - generation=11, Rank=3, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=46.1100, childFitness=43.7800, networkFitness=47.4500
2018-11-02 14:58:46,552 - DEBUG - generation=12, Rank=0, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=18.6500, childFitness=47.0600, networkFitness=47.0600
2018-11-02 15:01:07,501 - DEBUG - generation=12, Rank=1, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=41.1700, childFitness=46.2400, networkFitness=46.2400
2018-11-02 15:03:02,594 - DEBUG - generation=12, Rank=2, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=38.6400, childFitness=39.9100, networkFitness=40.3800
2018-11-02 15:05:22,691 - DEBUG - generation=12, Rank=3, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 3, 'nbNeurons': 64}, parentFitness=46.2300, childFitness=39.1100, networkFitness=47.4500
2018-11-02 15:08:17,539 - DEBUG - generation=13, Rank=0, parent={'dropout': 0.4, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 4}, child={'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, parentFitness=17.7300, childFitness=43.4600, networkFitness=47.0600
2018-11-02 15:11:09,285 - DEBUG - generation=13, Rank=1, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'sigmoid', 'nbLayers': 6, 'nbNeurons': 128}, parentFitness=46.8500, childFitness=10.0000, networkFitness=46.8500
2018-11-02 15:13:02,946 - DEBUG - generation=13, Rank=2, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=36.9500, childFitness=38.2000, networkFitness=40.3800
2018-11-02 15:16:00,696 - DEBUG - generation=13, Rank=3, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=46.6500, childFitness=38.4300, networkFitness=47.4500
