2018-11-02 13:35:19,982 - DEBUG - generation=0, Rank=0, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
2018-11-02 13:36:26,348 - DEBUG - generation=0, Rank=1, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
2018-11-02 13:37:34,525 - DEBUG - generation=0, Rank=2, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
2018-11-02 13:38:42,259 - DEBUG - generation=0, Rank=3, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, parentFitness=10.0000, childFitness=10.0600, networkFitness=10.0600
2018-11-02 13:39:58,280 - DEBUG - generation=0, Rank=4, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 4}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
2018-11-02 13:41:12,405 - DEBUG - generation=0, Rank=5, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
2018-11-02 13:44:37,254 - DEBUG - generation=1, Rank=0, parent={'dropout': 0.3, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 64}, child={'dropout': 0.3, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 64}, parentFitness=10.0000, childFitness=33.1300, networkFitness=33.1300
2018-11-02 13:46:20,584 - DEBUG - generation=1, Rank=1, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 64}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
2018-11-02 13:47:38,427 - DEBUG - generation=1, Rank=2, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
2018-11-02 13:48:58,650 - DEBUG - generation=1, Rank=3, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0600
2018-11-02 13:50:25,258 - DEBUG - generation=1, Rank=4, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
2018-11-02 13:51:51,085 - DEBUG - generation=1, Rank=5, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 4}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
