2018-11-02 14:26:46,934 - DEBUG - generation=0, Rank=0, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=30.7700, childFitness=27.1500, networkFitness=30.7700
2018-11-02 14:27:37,049 - DEBUG - generation=0, Rank=1, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=22.8600, childFitness=29.1300, networkFitness=29.1300
2018-11-02 14:28:28,021 - DEBUG - generation=0, Rank=2, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=28.0300, childFitness=27.1300, networkFitness=28.0300
2018-11-02 14:29:08,090 - DEBUG - generation=0, Rank=3, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=29.2200, childFitness=27.6700, networkFitness=29.2200
2018-11-02 14:29:58,453 - DEBUG - generation=0, Rank=4, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=26.4800, childFitness=26.4400, networkFitness=26.4800
2018-11-02 14:30:49,340 - DEBUG - generation=0, Rank=5, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=29.3500, childFitness=19.6900, networkFitness=29.3500
2018-11-02 14:31:30,314 - DEBUG - generation=0, Rank=6, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=29.8300, childFitness=23.9200, networkFitness=29.8300
2018-11-02 14:32:12,952 - DEBUG - generation=0, Rank=7, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=27.2400, childFitness=27.7000, networkFitness=27.7000
2018-11-02 14:32:56,136 - DEBUG - generation=0, Rank=8, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=26.0000, childFitness=28.9900, networkFitness=28.9900
2018-11-02 14:33:47,297 - DEBUG - generation=0, Rank=9, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 6, 'nbNeurons': 4}, parentFitness=29.0600, childFitness=10.0000, networkFitness=29.0600
2018-11-02 14:35:04,961 - DEBUG - generation=1, Rank=0, parent={'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'sigmoid', 'nbLayers': 15, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adadelta', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=10.0000, childFitness=24.7300, networkFitness=30.7700
