2018-11-03 16:52:44,736 - DEBUG - generation=0, parent={0: {'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 8}, 1: {'dropout': 0.2, 'optimizer': 'adamax', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 32}, 2: {'dropout': 0.2, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 15, 'nbNeurons': 4}, 3: {'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 15, 'nbNeurons': 128}}, child={0: {'dropout': 0.1, 'optimizer': 'sgd', 'activation': 'elu', 'nbLayers': 15, 'nbNeurons': 8}, 1: {'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 12, 'nbNeurons': 8}, 2: {'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 3, 'nbNeurons': 32}, 3: {'dropout': 0.5, 'optimizer': 'adadelta', 'activation': 'hard_sigmoid', 'nbLayers': 15, 'nbNeurons': 8}}, parentFitness={0: 17.05, 1: 19.400000000000002, 2: 10.0, 3: 26.650000000000002}, childFitness={0: 16.16, 1: 10.0, 2: 10.01, 3: 10.0}, networkFitness={0: 17.05, 1: 19.400000000000002, 2: 10.01, 3: 26.650000000000002}, genBestFitness=26.6500
2018-11-03 16:54:39,616 - DEBUG - generation=1, parent={0: {'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 128}, 1: {'dropout': 0.2, 'optimizer': 'adam', 'activation': 'relu', 'nbLayers': 15, 'nbNeurons': 8}, 2: {'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 16}, 3: {'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 15, 'nbNeurons': 128}}, child={0: {'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 128}, 1: {'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'hard_sigmoid', 'nbLayers': 15, 'nbNeurons': 64}, 2: {'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 16}, 3: {'dropout': 0.5, 'optimizer': 'adagrad', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 128}}, parentFitness={0: 25.52, 1: 19.17, 2: 10.0, 3: 25.290000000000003}, childFitness={0: 30.43, 1: 10.0, 2: 19.75, 3: 10.0}, networkFitness={0: 30.43, 1: 19.400000000000002, 2: 19.75, 3: 26.650000000000002}, genBestFitness=30.4300
2018-11-03 16:56:21,238 - DEBUG - generation=2, parent={0: {'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 128}, 1: {'dropout': 0.5, 'optimizer': 'adadelta', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, 2: {'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 16}, 3: {'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 15, 'nbNeurons': 128}}, child={0: {'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 8}, 1: {'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 8}, 2: {'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 32}, 3: {'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 8}}, parentFitness={0: 31.259999999999998, 1: 10.0, 2: 16.43, 3: 24.740000000000002}, childFitness={0: 9.98, 1: 9.99, 2: 17.03, 3: 14.799999999999999}, networkFitness={0: 31.259999999999998, 1: 19.400000000000002, 2: 19.75, 3: 26.650000000000002}, genBestFitness=31.2600
2018-11-03 16:58:13,678 - DEBUG - generation=3, parent={0: {'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 128}, 1: {'dropout': 0.5, 'optimizer': 'adadelta', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, 2: {'dropout': 0.5, 'optimizer': 'adadelta', 'activation': 'selu', 'nbLayers': 9, 'nbNeurons': 16}, 3: {'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 15, 'nbNeurons': 128}}, child={0: {'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 128}, 1: {'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 3, 'nbNeurons': 16}, 2: {'dropout': 0.5, 'optimizer': 'adagrad', 'activation': 'sigmoid', 'nbLayers': 12, 'nbNeurons': 64}, 3: {'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 4}}, parentFitness={0: 29.270000000000003, 1: 30.049999999999997, 2: 16.25, 3: 22.97}, childFitness={0: 27.3, 1: 14.77, 2: 10.0, 3: 18.18}, networkFitness={0: 31.259999999999998, 1: 30.049999999999997, 2: 19.75, 3: 26.650000000000002}, genBestFitness=31.2600
2018-11-03 17:00:11,736 - DEBUG - generation=4, parent={0: {'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 128}, 1: {'dropout': 0.5, 'optimizer': 'adadelta', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, 2: {'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 15, 'nbNeurons': 128}, 3: {'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 15, 'nbNeurons': 128}}, child={0: {'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 4}, 1: {'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 3, 'nbNeurons': 32}, 2: {'dropout': 0.5, 'optimizer': 'adagrad', 'activation': 'hard_sigmoid', 'nbLayers': 12, 'nbNeurons': 8}, 3: {'dropout': 0.5, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 15, 'nbNeurons': 8}}, parentFitness={0: 31.630000000000003, 1: 30.070000000000004, 2: 9.75, 3: 24.709999999999997}, childFitness={0: 24.610000000000003, 1: 14.719999999999999, 2: 10.0, 3: 10.0}, networkFitness={0: 31.630000000000003, 1: 30.070000000000004, 2: 19.75, 3: 26.650000000000002}, genBestFitness=31.6300
2018-11-03 17:02:43,635 - DEBUG - generation=5, parent={0: {'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 128}, 1: {'dropout': 0.5, 'optimizer': 'adadelta', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, 2: {'dropout': 0.25, 'optimizer': 'adagrad', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 16}, 3: {'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 15, 'nbNeurons': 64}}, child={0: {'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 15, 'nbNeurons': 64}, 1: {'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 12, 'nbNeurons': 16}, 2: {'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 12, 'nbNeurons': 8}, 3: {'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 15, 'nbNeurons': 64}}, parentFitness={0: 31.1, 1: 30.7, 2: 10.0, 3: 22.28}, childFitness={0: 21.52, 1: 10.0, 2: 10.0, 3: 27.47}, networkFitness={0: 31.630000000000003, 1: 30.7, 2: 19.75, 3: 27.47}, genBestFitness=31.6300
2018-11-03 17:05:06,408 - DEBUG - generation=6, parent={0: {'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 128}, 1: {'dropout': 0.5, 'optimizer': 'adadelta', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, 2: {'dropout': 0.5, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, 3: {'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 15, 'nbNeurons': 64}}, child={0: {'dropout': 0.5, 'optimizer': 'adadelta', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, 1: {'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 15, 'nbNeurons': 32}, 2: {'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'hard_sigmoid', 'nbLayers': 12, 'nbNeurons': 32}, 3: {'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 128}}, parentFitness={0: 32.54, 1: 29.720000000000002, 2: 23.36, 3: 25.629999999999995}, childFitness={0: 10.0, 1: 10.0, 2: 10.0, 3: 19.56}, networkFitness={0: 32.54, 1: 30.7, 2: 23.36, 3: 27.47}, genBestFitness=32.5400
2018-11-03 17:07:18,690 - DEBUG - generation=7, parent={0: {'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 128}, 1: {'dropout': 0.5, 'optimizer': 'adadelta', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, 2: {'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 128}, 3: {'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 15, 'nbNeurons': 64}}, child={0: {'dropout': 0.5, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 4}, 1: {'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 3, 'nbNeurons': 32}, 2: {'dropout': 0.5, 'optimizer': 'adadelta', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 32}, 3: {'dropout': 0.5, 'optimizer': 'adagrad', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 8}}, parentFitness={0: 29.080000000000002, 1: 26.96, 2: 17.71, 3: 23.400000000000002}, childFitness={0: 10.08, 1: 9.78, 2: 16.470000000000002, 3: 10.12}, networkFitness={0: 32.54, 1: 30.7, 2: 23.36, 3: 27.47}, genBestFitness=32.5400
2018-11-03 17:10:07,268 - DEBUG - generation=8, parent={0: {'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 128}, 1: {'dropout': 0.5, 'optimizer': 'adadelta', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, 2: {'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 9, 'nbNeurons': 16}, 3: {'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 15, 'nbNeurons': 64}}, child={0: {'dropout': 0.1, 'optimizer': 'sgd', 'activation': 'hard_sigmoid', 'nbLayers': 15, 'nbNeurons': 64}, 1: {'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 15, 'nbNeurons': 64}, 2: {'dropout': 0.2, 'optimizer': 'adadelta', 'activation': 'sigmoid', 'nbLayers': 12, 'nbNeurons': 64}, 3: {'dropout': 0.5, 'optimizer': 'adagrad', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 128}}, parentFitness={0: 30.44, 1: 28.62, 2: 11.48, 3: 24.95}, childFitness={0: 10.0, 1: 10.0, 2: 10.0, 3: 15.559999999999999}, networkFitness={0: 32.54, 1: 30.7, 2: 23.36, 3: 27.47}, genBestFitness=32.5400
2018-11-03 17:12:34,626 - DEBUG - generation=9, parent={0: {'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 128}, 1: {'dropout': 0.5, 'optimizer': 'adadelta', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, 2: {'dropout': 0.5, 'optimizer': 'nadam', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 16}, 3: {'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 15, 'nbNeurons': 64}}, child={0: {'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 8}, 1: {'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 32}, 2: {'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 12, 'nbNeurons': 8}, 3: {'dropout': 0.5, 'optimizer': 'adadelta', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 4}}, parentFitness={0: 30.680000000000003, 1: 25.259999999999998, 2: 10.0, 3: 24.310000000000002}, childFitness={0: 30.64, 1: 18.54, 2: 10.0, 3: 19.93}, networkFitness={0: 32.54, 1: 30.7, 2: 23.36, 3: 27.47}, genBestFitness=32.5400
2018-11-03 17:15:12,206 - DEBUG - generation=10, parent={0: {'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 128}, 1: {'dropout': 0.5, 'optimizer': 'adadelta', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, 2: {'dropout': 0.5, 'optimizer': 'adagrad', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 128}, 3: {'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 15, 'nbNeurons': 64}}, child={0: {'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 64}, 1: {'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 3, 'nbNeurons': 16}, 2: {'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 12, 'nbNeurons': 8}, 3: {'dropout': 0.5, 'optimizer': 'adadelta', 'activation': 'tanh', 'nbLayers': 12, 'nbNeurons': 4}}, parentFitness={0: 27.889999999999997, 1: 27.779999999999998, 2: 25.540000000000003, 3: 26.46}, childFitness={0: 31.480000000000004, 1: 16.939999999999998, 2: 10.0, 3: 10.0}, networkFitness={0: 32.54, 1: 30.7, 2: 25.540000000000003, 3: 27.47}, genBestFitness=32.5400
