2018-11-03 16:55:15,440 - DEBUG - generation=0, parent={0: {'dropout': 0.5, 'optimizer': 'nadam', 'activation': 'tanh', 'nbLayers': 9, 'nbNeurons': 8}, 1: {'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, 2: {'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'selu', 'nbLayers': 15, 'nbNeurons': 16}, 3: {'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 15, 'nbNeurons': 4}, 4: {'dropout': 0.25, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, 5: {'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 64}}, child={0: {'dropout': 0.5, 'optimizer': 'nadam', 'activation': 'tanh', 'nbLayers': 9, 'nbNeurons': 8}, 1: {'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 15, 'nbNeurons': 32}, 2: {'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'sigmoid', 'nbLayers': 15, 'nbNeurons': 32}, 3: {'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'selu', 'nbLayers': 15, 'nbNeurons': 4}, 4: {'dropout': 0.25, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, 5: {'dropout': 0.5, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 15, 'nbNeurons': 4}}, parentFitness={0: 10.0, 1: 10.0, 2: 16.37, 3: 10.5, 4: 19.03, 5: 21.34}, childFitness={0: 10.059999999999999, 1: 10.0, 2: 10.0, 3: 9.9, 4: 27.810000000000002, 5: 10.0}, networkFitness={0: 10.059999999999999, 1: 10.0, 2: 16.37, 3: 10.5, 4: 27.810000000000002, 5: 21.34}, genBestFitness=27.8100
2018-11-03 16:57:53,590 - DEBUG - generation=1, parent={0: {'dropout': 0.5, 'optimizer': 'adagrad', 'activation': 'hard_sigmoid', 'nbLayers': 12, 'nbNeurons': 64}, 1: {'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, 2: {'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, 3: {'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, 4: {'dropout': 0.25, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, 5: {'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 64}}, child={0: {'dropout': 0.1, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 9, 'nbNeurons': 8}, 1: {'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 6, 'nbNeurons': 32}, 2: {'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, 3: {'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, 4: {'dropout': 0.25, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 4}, 5: {'dropout': 0.1, 'optimizer': 'adam', 'activation': 'relu', 'nbLayers': 15, 'nbNeurons': 64}}, parentFitness={0: 10.0, 1: 36.58, 2: 12.16, 3: 10.0, 4: 23.330000000000002, 5: 26.529999999999998}, childFitness={0: 17.8, 1: 10.0, 2: 33.87, 3: 22.57, 4: 18.34, 5: 19.36}, networkFitness={0: 17.8, 1: 36.58, 2: 33.87, 3: 22.57, 4: 27.810000000000002, 5: 26.529999999999998}, genBestFitness=36.5800
2018-11-03 17:00:50,929 - DEBUG - generation=2, parent={0: {'dropout': 0.4, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 15, 'nbNeurons': 64}, 1: {'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, 2: {'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, 3: {'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, 4: {'dropout': 0.25, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, 5: {'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 64}}, child={0: {'dropout': 0.5, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 15, 'nbNeurons': 8}, 1: {'dropout': 0.25, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 9, 'nbNeurons': 64}, 2: {'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 15, 'nbNeurons': 16}, 3: {'dropout': 0.5, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 15, 'nbNeurons': 32}, 4: {'dropout': 0.3, 'optimizer': 'nadam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, 5: {'dropout': 0.5, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 4}}, parentFitness={0: 10.0, 1: 34.07, 2: 33.86, 3: 30.11, 4: 26.69, 5: 30.17}, childFitness={0: 10.0, 1: 18.62, 2: 10.0, 3: 10.0, 4: 17.740000000000002, 5: 13.73}, networkFitness={0: 17.8, 1: 36.58, 2: 33.87, 3: 30.11, 4: 27.810000000000002, 5: 30.17}, genBestFitness=36.5800
2018-11-03 17:04:25,640 - DEBUG - generation=3, parent={0: {'dropout': 0.3, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 12, 'nbNeurons': 4}, 1: {'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, 2: {'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, 3: {'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, 4: {'dropout': 0.25, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, 5: {'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 64}}, child={0: {'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 8}, 1: {'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'sigmoid', 'nbLayers': 15, 'nbNeurons': 32}, 2: {'dropout': 0.25, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 15, 'nbNeurons': 32}, 3: {'dropout': 0.25, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 15, 'nbNeurons': 4}, 4: {'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 4}, 5: {'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 64}}, parentFitness={0: 10.0, 1: 35.77, 2: 33.33, 3: 18.509999999999998, 4: 22.3, 5: 34.33}, childFitness={0: 19.97, 1: 10.0, 2: 11.21, 3: 10.01, 4: 9.98, 5: 28.42}, networkFitness={0: 19.97, 1: 36.58, 2: 33.87, 3: 30.11, 4: 27.810000000000002, 5: 34.33}, genBestFitness=36.5800
2018-11-03 17:07:47,496 - DEBUG - generation=4, parent={0: {'dropout': 0.5, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 64}, 1: {'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, 2: {'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, 3: {'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, 4: {'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 15, 'nbNeurons': 128}, 5: {'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 64}}, child={0: {'dropout': 0.5, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 64}, 1: {'dropout': 0.5, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 64}, 2: {'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 32}, 3: {'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 15, 'nbNeurons': 32}, 4: {'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 4}, 5: {'dropout': 0.5, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 8}}, parentFitness={0: 10.0, 1: 36.26, 2: 33.96, 3: 30.380000000000003, 4: 26.75, 5: 30.099999999999998}, childFitness={0: 28.82, 1: 32.59, 2: 32.23, 3: 19.25, 4: 21.65, 5: 18.38}, networkFitness={0: 28.82, 1: 36.58, 2: 33.96, 3: 30.380000000000003, 4: 27.810000000000002, 5: 34.33}, genBestFitness=36.5800
2018-11-03 17:11:35,809 - DEBUG - generation=5, parent={0: {'dropout': 0.5, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 64}, 1: {'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, 2: {'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, 3: {'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, 4: {'dropout': 0.3, 'optimizer': 'adagrad', 'activation': 'relu', 'nbLayers': 3, 'nbNeurons': 8}, 5: {'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 64}}, child={0: {'dropout': 0.5, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 64}, 1: {'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 8}, 2: {'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'relu', 'nbLayers': 1, 'nbNeurons': 32}, 3: {'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'relu', 'nbLayers': 1, 'nbNeurons': 4}, 4: {'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'relu', 'nbLayers': 12, 'nbNeurons': 128}, 5: {'dropout': 0.5, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 8}}, parentFitness={0: 31.130000000000003, 1: 33.12, 2: 31.52, 3: 27.91, 4: 20.46, 5: 30.380000000000003}, childFitness={0: 10.0, 1: 23.78, 2: 13.020000000000001, 3: 9.99, 4: 15.7, 5: 10.0}, networkFitness={0: 31.130000000000003, 1: 36.58, 2: 33.96, 3: 30.380000000000003, 4: 27.810000000000002, 5: 34.33}, genBestFitness=36.5800
2018-11-03 17:15:19,412 - DEBUG - generation=6, parent={0: {'dropout': 0.5, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 64}, 1: {'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, 2: {'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, 3: {'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, 4: {'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 64}, 5: {'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 64}}, child={0: {'dropout': 0.5, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 8}, 1: {'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'relu', 'nbLayers': 15, 'nbNeurons': 8}, 2: {'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 32}, 3: {'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 15, 'nbNeurons': 4}, 4: {'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'tanh', 'nbLayers': 3, 'nbNeurons': 4}, 5: {'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 64}}, parentFitness={0: 25.52, 1: 36.559999999999995, 2: 34.839999999999996, 3: 29.25, 4: 10.0, 5: 35.67}, childFitness={0: 21.97, 1: 10.0, 2: 34.82, 3: 10.72, 4: 17.64, 5: 25.840000000000003}, networkFitness={0: 31.130000000000003, 1: 36.58, 2: 34.839999999999996, 3: 30.380000000000003, 4: 27.810000000000002, 5: 35.67}, genBestFitness=36.5800
2018-11-03 17:19:43,812 - DEBUG - generation=7, parent={0: {'dropout': 0.5, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 64}, 1: {'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, 2: {'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, 3: {'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, 4: {'dropout': 0.1, 'optimizer': 'sgd', 'activation': 'elu', 'nbLayers': 15, 'nbNeurons': 8}, 5: {'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 64}}, child={0: {'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 64}, 1: {'dropout': 0.25, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 15, 'nbNeurons': 32}, 2: {'dropout': 0.3, 'optimizer': 'sgd', 'activation': 'hard_sigmoid', 'nbLayers': 15, 'nbNeurons': 32}, 3: {'dropout': 0.5, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 15, 'nbNeurons': 32}, 4: {'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 128}, 5: {'dropout': 0.5, 'optimizer': 'nadam', 'activation': 'relu', 'nbLayers': 1, 'nbNeurons': 8}}, parentFitness={0: 30.85, 1: 36.55, 2: 32.95, 3: 28.53, 4: 15.67, 5: 28.16}, childFitness={0: 27.93, 1: 7.71, 2: 10.0, 3: 10.0, 4: 24.65, 5: 10.0}, networkFitness={0: 31.130000000000003, 1: 36.58, 2: 34.839999999999996, 3: 30.380000000000003, 4: 27.810000000000002, 5: 35.67}, genBestFitness=36.5800
2018-11-03 17:24:30,794 - DEBUG - generation=8, parent={0: {'dropout': 0.5, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 64}, 1: {'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, 2: {'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, 3: {'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, 4: {'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 128}, 5: {'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 64}}, child={0: {'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 8}, 1: {'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'sigmoid', 'nbLayers': 15, 'nbNeurons': 32}, 2: {'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, 3: {'dropout': 0.25, 'optimizer': 'adagrad', 'activation': 'relu', 'nbLayers': 15, 'nbNeurons': 16}, 4: {'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 128}, 5: {'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'relu', 'nbLayers': 12, 'nbNeurons': 8}}, parentFitness={0: 30.380000000000003, 1: 36.38, 2: 34.19, 3: 25.52, 4: 16.89, 5: 22.93}, childFitness={0: 21.95, 1: 10.0, 2: 35.72, 3: 13.459999999999999, 4: 18.7, 5: 17.01}, networkFitness={0: 31.130000000000003, 1: 36.58, 2: 35.72, 3: 30.380000000000003, 4: 27.810000000000002, 5: 35.67}, genBestFitness=36.5800
2018-11-03 17:29:26,013 - DEBUG - generation=9, parent={0: {'dropout': 0.5, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 64}, 1: {'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, 2: {'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, 3: {'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, 4: {'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 4}, 5: {'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 64}}, child={0: {'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 8}, 1: {'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 64}, 2: {'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 16}, 3: {'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 16}, 4: {'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'selu', 'nbLayers': 15, 'nbNeurons': 128}, 5: {'dropout': 0.5, 'optimizer': 'nadam', 'activation': 'tanh', 'nbLayers': 12, 'nbNeurons': 128}}, parentFitness={0: 27.63, 1: 35.66, 2: 33.07, 3: 30.759999999999998, 4: 29.189999999999998, 5: 30.42}, childFitness={0: 17.36, 1: 35.510000000000005, 2: 24.3, 3: 25.2, 4: 9.78, 5: 10.0}, networkFitness={0: 31.130000000000003, 1: 36.58, 2: 35.72, 3: 30.759999999999998, 4: 29.189999999999998, 5: 35.67}, genBestFitness=36.5800
2018-11-03 17:34:32,741 - DEBUG - generation=10, parent={0: {'dropout': 0.5, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 64}, 1: {'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, 2: {'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, 3: {'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, 4: {'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 3, 'nbNeurons': 128}, 5: {'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 64}}, child={0: {'dropout': 0.1, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 8}, 1: {'dropout': 0.3, 'optimizer': 'adamax', 'activation': 'hard_sigmoid', 'nbLayers': 15, 'nbNeurons': 64}, 2: {'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, 3: {'dropout': 0.25, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 16}, 4: {'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 128}, 5: {'dropout': 0.5, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 15, 'nbNeurons': 64}}, parentFitness={0: 29.189999999999998, 1: 35.510000000000005, 2: 34.589999999999996, 3: 25.240000000000002, 4: 22.759999999999998, 5: 31.95}, childFitness={0: 24.169999999999998, 1: 10.0, 2: 31.91, 3: 29.020000000000003, 4: 29.03, 5: 10.0}, networkFitness={0: 31.130000000000003, 1: 36.58, 2: 35.72, 3: 30.759999999999998, 4: 29.189999999999998, 5: 35.67}, genBestFitness=36.5800
